bagg 闭关
bcdge 白炽灯
bcdh 绊倒
bcdha 包产到户
bcdho 驳倒
bcdhoa 彼此的
bcdhou 悲惨的
bcdm 绷得
bcds 绑定
bcdsi 编定
bcdy 绷带
bcdyi 绑带
bcdz 编队
bcf 补偿费
bcfb 补偿费
bcfc 缤纷
bcfci 绑缚
bcfco 膘肥
bcfi 绑匪
bcfn 编发
bcfy 不测风云
bcg 不超过
bcgb 百尺竿头，更进一步
bcgc 博采各家之长
bcgd 补充规定
bcge 膑骨
bcgh 百川归海
bcgm 本草纲目
bcgo 便常规
bcgs 胞宫
bcgt 鼻唇沟
bcgte 百尺竿头
bcgx 脖颈
bcgy 不超过
bch 被摧毁
bchc 编绘
bche 驳回
bchh 百川汇海
bchj 编号
bchl 绷簧
bchli 卑辞厚礼
bchm 编后
bchs 病虫害
bchw 报春花
bchx 包藏祸心
bchy 本次会议
bcj 彼此间
bcja 彼此间
bcjb 编剧
bcjbi 编校
bcjc 绊脚
bcjca 胞经
bcjci 编结
bcjf 编就
bcjfa 胞浆
bcji 编辑
bcjl 病程记录
bcjn 绑架
bcjq 绷紧
bcjr 补偿金
bcjs 编程技术
bcjt 保持警惕
bcjx 备尝艰辛
bcjz 别出机杼
bckr 病从口入
bcl 变成了
bclb 编录
bclc 编练
bclce 绷脸
bcld 驳论
bclh 保持良好
bclk 不辞劳苦
bcln 拔出萝卜带出泥
bclp 编列
bcls 绑牢
bclx 保持联系
bclz 补充了
bclzo 爆出了
bcma 胞门
bcme 编目
bcmj 鞭长莫及
bcmm 不揣冒昧
bcmn 胞妹
bcmp 编码
bcmy 补偿贸易
bcne 编内
bcnl 编年
bcnx 驳难
bcny 胞囊
bcp 半成品
bcph 保持平衡
bcpj 半成品
bcpt 编派
bcpu 编排
bcpy 绑票
bcpyo 薄层培养
bcq 不差钱
bcqc 骠骑
bcqca 胞腔
bcqe 编曲
bcqj 不成器
bcqn 不出去
bcqr 不差钱
bcqy 保存期
bcrj 编入
bcs 补充说
bcsc 编书
bcsd 补充说
bcsf 白城市
bcsg 被除数
bcsgo 被乘数
bcsl 不出所料
bcslo 保存实力
bcsm 补充说明
bcsmo 不差什么
bcsq 抱残守缺
bcsr 绑上
bcss 胞室
bcssi 编审
bcst 保持水土
bcsy 冰醋酸
bct 波茨坦
bctc 胞胎
bctci 绑腿
bctj 胞吐
bctn 波茨坦
bcto 胞吞
bctt 不成体统
bcv 板擦儿
bcvb 不辞而别
bcve 驳岸
bcvk 绊儿
bcvko 冰碴儿
bcw 被称为
bcwd 保持稳定
bcwf 不成文
bcwg 编为
bcwk 编外
bcwl 编委
bcwli 编舞
bcwn 博茨瓦纳
bcwv 辨才无碍
bcx 北朝鲜
bcxc 别出心裁
bcxd 编写
bcxf 编程序
bcxh 编修
bcxho 报仇雪恨
bcxj 胞兄
bcxk 不辞辛苦
bcxl 编选
bcxlo 不辞辛劳
bcxs 饱餐秀色
bcxw 不耻下问
bcyd 编译
bcydo 驳议
bcyh 编余
bcyk 胞饮
bcyki 编印
bcyo 驳运
bcyp 绷硬
bcyr 不齿于人
bcyt 编演
bcyta 抱成一团
bcyw 补充业务
bcyz 保持一致
bcyze 背城一战
bcyzo 保持原状
bcz 保持着
bczc 编织
bczca 胞脏
bczci 编组
bczco 博采众长
bczcoo 博采众家之长
bcze 胞中
bczg 绷着
bczgi 绑着
bczh 绑住
bczha 笔参造化
bczhi 绊住
bczho 被称作
bczhoo 标称值
bczj 彼此之间
bczk 驳杂
bczl 编制
bczli 编造
bczlio 编纂
bczlo 悲从中来
bczm 胞质
bczp 绑在
bczr 编钟
bczu 编撰
bczui 绑扎
bczw 编著
bczx 本初子午线
bczy 绷直
bczyi 编者
bczyo 不称职
bczyoo 保持者
bczz 脖子
bczzu 膀子
bdb 不得不
bdbc 补编
bdbd 裱褙
bdbe 被逼
bdbeo 必败
bdbf 不得不发
bdbh 补白
bdbhe 白蛋白
bdbho 彼得堡
bdbk 必备
bdbl 宝刀不老
bdbn 补办
bdbp 遍布
bdbpo 不但不
bdbr 背对背
bdbs 不多不少
bdbso 不打不相识
bdbt 棒打不回头
bdbu 被捕
bdbuo 补报
bdbx 不大不小
bdby 百读不厌
bdc 表达出
bdcb 被查
bdcf 补充
bdcfo 不动产
bdcg 补差
bdch 补偿
bdcho 不到长城非好汉
bdck 八大处
bdcl 被称
bdclo 不对称
bdcloo 表达出来
bdcn 白帝城
bdcv 不对茬儿
bdcx 不断创新
bdcy 八斗才
bdcz 表达出
bdd 不断地
bddd 必读
bdde 扁豆
bddf 被盗
bddg 被单
bddh 病毒的
bddi 办得到
bddii 并得到
bddj 百多吨
bddje 百端待举
bddl 必答
bddm 必得
bddmo 不道德
bddn 遍地
bddo 被动
bdds 必定
bddt 不登大雅之堂
bddu 被打
bddui 扁担
bddy 补丁
bddz 别动队
bdf 贝多芬
bdfc 被服
bdfd 被访
bdfe 被罚
bdff 不断丰富
bdfh 被俘
bdfho 标点符号
bdfk 白癜风
bdfn 补发
bdfs 表达方式
bdft 补法
bdfw 贝多芬
bdfy 被覆
bdfz 不断发展
bdg 白大褂
bdgb 北豆根
bdgbo 变档杆
bdgc 不定冠词
bdgd 白大褂
bdgj 变得更加
bdgl 被告
bdgr 补钙
bdgro 病毒感染
bdgs 毕达哥拉斯
bdgt 北大港
bdgx 不断更新
bdgy 补过
bdgye 白搭功
bdh 北大荒
bdhg 裱糊
bdhh 被毁
bdhhe 本地化
bdhho 补货
bdhs 被害
bdhso 憋得慌
bdhsoi 不到黄河心不死
bdht 北戴河
bdhw 北大荒
bdhx 不到黄河不死心
bdj 不对劲
bdjb 被禁
bdjbo 不断进步
bdjc 补给
bdjco 必经
bdjcoi 必纠
bdjcoo 补缴
bdje 不多见
bdjf 必将
bdjfo 补交
bdjfoo 不定积分
bdjg 兵多将广
bdjh 补假
bdji 必较
bdjj 被叫
bdjk 遍及
bdjko 不多久
bdjl 巴丹吉林
bdjm 被动局面
bdjn 被劫
bdjp 补碱
bdjq 不断加强
bdjr 补钾
bdjro 八段锦
bdjs 必究
bdjsi 部队建设
bdjso 博大精深
bdju 被拒
bdjx 不得劲
bdjy 补救
bdk 白豆蔻
bdkd 补课
bdkdo 不断扩大
bdke 被困
bdkh 遍地开花
bdkl 鞭打快驴
bdkn 傍大款
bdkno 不大可能
bdknoi 鞭打快牛
bdkp 被砍
bdku 被控
bdkuo 被扣
bdkuoe 必看
bdkw 白豆蔻
bdky 补考
bdkyo 不但可以
bdl 不得了
bdle 被里
bdlee 背地里
bdleo 八达岭
bdlg 布达拉宫
bdlgo 波多黎各
bdlh 补领
bdlhi 并蒂莲花
bdlj 本地连接
bdlp 遍历
bdls 弊多利少
bdlt 补漏
bdlw 并蒂莲
bdly 鲍德里亚
bdlz 表达了
bdlzo 报道了
bdm 帮倒忙
bdmc 被膜
bdmp 补码
bdms 帮倒忙
bdnc 补脑
bdnf 波多诺伏
bdnh 被你
bdnl 表达能力
bdnx 必能
bdpc 被骗
bdpg 被判
bdph 被迫
bdpj 补品
bdps 布达佩斯
bdpt 被派
bdpu 扁平
bdpy 补票
bdq 不定期
bdqa 补阙
bdqf 补齐
bdqh 补全
bdqi 本地区
bdqia 北道区
bdqio 宝坻区
bdqj 不断前进
bdql 补气
bdqlo 补缺
bdqy 扁鹊
bdqz 不得其志
bdr 本地人
bdrc 不但如此
bdrd 被褥
bdrh 被人
bdrj 补入
bdrk 必然
bdro 班德瑞
bdrx 不得人心
bds 不但是
bdsb 补述
bdsc 必胜
bdsco 冰冻三尺
bdsd 报道说
bdsf 保定市
bdsg 遍数
bdsh 遍身
bdsha 笔底生花
bdsho 冰冻三尺，非一日之寒
bdsi 表达式
bdsio 不等式
bdsioo 不定式
bdsiou 被动式
bdsj 被杀
bdsjo 必杀
bdsk 被删
bdsl 补税
bdsm 变电所
bdsp 必死
bdsq 补肾
bdsr 补上
bdsra 比得上
bdsro 不断深入
bdss 不动声色
bdsu 巴豆霜
bdsy 败毒散
bdt 不对头
bdtb 扁桃
bdtc 补胎
bdte 补贴
bdtg 不断提高
bdth 被他
bdthi 半导体
bdtho 被偷
bdthoe 遍体
bdtj 包打听
bdtn 被她
bdtno 必填
bdtp 被套
bdtr 补铁
bdts 不对头
bdtx 补台
bdv 布迪厄
bdvc 背道而驰
bdvd 被动挨打
bdvj 被爱
bdvp 布迪厄
bdvq 拔地而起
bdvz 不得而知
bdw 不到位
bdwg 必为
bdwh 补位
bdwhe 本单位
bdwj 不倒翁
bdwl 宝刀未老
bdws 被窝
bdwso 不断完善
bdx 北斗星
bdxb 遍寻
bdxbo 补校
bdxh 补血
bdxho 必修
bdxhou 补修
bdxi 北斗星
bdxl 补选
bdxm 必须
bdxr 补虚
bdxs 病毒性
bdxso 被动性
bdxu 必需
bdxw 不端行为
bdxx 补习
bdxy 北大西洋
bdxyo 病毒性肝炎
bdxz 拔刀相助
bdxzo 保兑信用证
bdy 不得已
bdyb 不得已
bdye 遍野
bdyeo 补遗
bdyg 裨益
bdygi 鼻窦炎
bdygo 补益
bdygoi 补养
bdyi 补牙
bdyk 被疑
bdyl 不得要领
bdyli 弊大于利
bdyo 不等于
bdyoo 不低于
bdyp 必有
bdys 被动运输
bdyt 被淹
bdyto 补液
bdyw 补药
bdyx 不得以
bdyy 必要
bdyyi 棒打鸳鸯
bdyyu 膀大腰圆
bdyz 补阳
bdyzo 补阴
bdyzoo 不得已而为之
bdyzu 步调一致
bdz 半吊子
bdzc 补缀
bdzco 不当之处
bdze 补助
bdzeo 被罩
bdzf 补妆
bdzfo 变电站
bdzg 被炸
bdzj 补足
bdzk 必争
bdzl 补种
bdzli 剥夺政治权利
bdzm 扁舟
bdzr 被占
bdzt 补注
bdzu 被抓
bdzy 补正
bdzz 被子
bdzzo 被阻
bdzzoi 不打自招
bebe 贝贝
bebf 贬褒
bebh 败兵
bebl 败笔
beblo 罢笔
bebn 蚌埠
bebr 败北
becd 贬词
bece 罢黜
becl 贬称
becm 贬斥
becp 崩殂
becw 败草
becz 逼出
bedh 贬低
bedk 贝雕
bedm 逼得
bedo 败毒
befe 蝙蝠
begc 败给
bege 髀骨
begg 髀关
begh 逼供
begs 逼宫
begso 罢官
begsoe 贬官
begy 罢工
behg 败火
behl 逼和
behn 败坏
behno 逼婚
bejb 败局
bejc 败绩
bejd 败军
bejf 败将
bejh 贬价
bejk 逼急
bejke 崩解
bejm 逼近
bejs 败家
bekd 罢课
bekn 贝壳
bekni 蚌壳
beks 败寇
bekt 崩溃
beky 贝克
bekyo 罢考
belg 败类
belgo 贝类
bell 贝利
belp 崩裂
belt 崩漏
belu 败露
belw 败落
bely 贝勒
belz 罢了
bemc 贝母
bemk 罢免
bene 睥睨
bens 贝宁
beph 逼迫
bepm 崩盘
bepu 逼平
bequ 逼抢
berh 逼人
besb 贝司
besd 逼视
besdo 败诉
besf 罢市
besp 逼死
bess 罢赛
besu 罢手
besuo 贬损
betb 败退
betn 崩塌
betne 崩坍
betno 贝塔
bevk 贝尔
bewa 逼问
bewe 败胃
bexh 罢休
bexn 败絮
bexs 败兴
beye 败因
beyeo 败由
beyg 贬义
beyj 败叶
beyu 贬抑
bezd 贬谪
bezg 逼着
bezh 贬值
bezho 败仗
bezhoo 逼债
bezn 逼走
bezno 败走
bezy 败者
bezyo 逼真
bezyoo 罢职
bezz 败阵
bfb 百分百
bfba 半封闭
bfbb 冰棒
bfbc 辩驳
bfbco 不分彼此
bfbd 边防部队
bfbe 褒贬
bfbf 病变
bfbfe 白粉病
bfbfo 冰冰
bfbh 变白
bfbhi 辩白
bfbi 冰暴
bfbie 百分比
bfbj 辨别
bfbo 百分表
bfbp 百分百
bfbs 不肥不瘦
bfbu 禀报
bfbuo 冰雹
bfbz 百发百中
bfcb 冰层
bfcc 白发苍苍
bfcd 辩词
bfce 病虫
bfcf 病床
bfcfo 变产
bfcfoe 病畜
bfcg 变粗
bfch 冰川
bfcho 不分场合
bfcl 变长
bfcli 辩称
bfclo 病程
bfcloo 不费吹灰之力
bfcn 冰城
bfcno 冰场
bfcp 变成
bfcpo 病残
bfcr 冰镩
bfcy 辩才
bfcyi 部分产业
bfcz 辨出
bfczo 变出
bfczoo 不复存在
bfd 部分的
bfdd 变调
bfde 变电
bfdf 冰冻
bfdg 冰灯
bfdh 病倒
bfdha 北方的
bfdho 冰袋
bfdhoo 办法的
bfdj 百废待举
bfdjo 不发达国家
bfdk 冰雕
bfdko 冰岛
bfdl 变短
bfdlo 病笃
bfdm 变得
bfdn 冰刀
bfdo 病毒
bfdoo 变动
bfdooo 冰毒
bfdp 变大
bfdpo 不发达
bfdq 部分地区
bfdqa 北方地区
bfdqo 不发达地区
bfdr 冰点
bfdre 百分点
bfds 病窦
bfdx 百废待兴
bfdxo 不分大小
bfdz 部队
bff 不复返
bffd 病房
bffe 冰峰
bffeo 禀赋
bffh 部份
bffj 部分
bffm 不复返
bffn 冰封
bffo 病夫
bfft 变法
bffy 冰敷
bffz 不法分子
bfg 避风港
bfgb 冰棍
bfgbo 病根
bfgboe 冰柜
bfgg 冰盖
bfggo 冰糕
bfgj 播放工具
bfgl 禀告
bfgn 变卦
bfgp 部分股票
bfgt 避风港
bfgy 变故
bfgyo 变革
bfgyoo 变更
bfh 不符合
bfhc 变幻
bfhd 暴发户
bfhda 北方话
bfhe 变回
bfheo 病患
bfheoo 变黑
bfhf 疤痕
bfhfo 瘢痕
bfhh 变化
bfhj 病号
bfhm 病后
bfhn 变好
bfhno 变坏
bfhnoe 冰壶
bfhp 变厚
bfhs 冰寒
bfhsa 蚍蜉撼树
bfhso 病害
bfht 冰河
bfhu 变换
bfhua 庇护
bfhui 辩护
bfhw 冰花
bfhy 八方呼应
bfj 边防军
bfjb 变局
bfjbe 播放机
bfjbi 半封建
bfjbo 病机
bfjc 冰肌
bfjci 部级
bfjd 北伐军
bfje 禀见
bfjf 部将
bfjfo 褒奖
bfjh 部件
bfjho 病假
bfjhoi 变价
bfjhoo 变焦
bfji 冰晶
bfjj 悲愤交加
bfjk 辩解
bfjku 步伐加快
bfjs 冰窖
bfjso 病家
bfjw 病菌
bfjwo 变节
bfjx 百废具兴
bfjxe 百废俱兴
bfk 八方客
bfkf 病况
bfkn 冰块
bfks 变宽
bfkse 白费口舌
bfl 爆发了
bflb 冰棱
bflc 变脸
bfld 辩论
bfle 布法罗
bflf 冰冷
bflfa 疤瘌
bflfao 巴甫洛夫
bflfe 百分率
bflfo 冰凉
bflfoa 变亮
bflfoo 变冷
bflg 部类
bflh 病例
bfli 变量
bfln 爆发力
bflo 病理
bflp 病历
bflq 白费力气
bflw 部落
bfly 变老
bflya 巴伐利亚
bflz 变了
bflzo 病了
bfma 部门
bfmc 瓣膜
bfmf 病魔
bfmi 辨明
bfmii 辩明
bfmk 病名
bfmp 冰面
bfms 变慢
bfmy 变卖
bfni 变暖
bfnx 辩难
bfph 冰片
bfpm 变盘
bfpr 变频
bfpu 冰排
bfq 不服气
bfqb 不分青红皂白
bfqi 病区
bfqj 播放器
bfql 变迁
bfqo 冰球
bfqr 不乏其人
bfqs 病情
bfqse 白发青衫
bfqt 辨清
bfqx 边防前线
bfqy 冰期
bfqyi 部分企业
bfrb 病弱
bfrc 并非如此
bfrd 辨认
bfrh 病人
bfrho 冰人
bfri 变软
bfrs 病容
bfru 变热
bfs 并非是
bfsb 部属
bfsd 辨识
bfsda 比方说
bfse 部署
bfseo 冰山
bfseoo 病史
bfsf 不分胜负
bfsg 变数
bfsge 百分数
bfsgi 部首
bfsh 变身
bfsi 不服输
bfsj 冰释
bfsk 变色
bfski 辨色
bfso 瘪三
bfsp 病死
bfsr 冰上
bfss 冰室
bfsso 病室
bfssou 边防哨所
bfst 冰水
bfsto 变少
bfstoo 不服水土
bfsu 冰霜
bfsui 辩手
bfsuo 病逝
bfsuou 病势
bfsw 褒赏
bfsy 变速
bftb 病榻
bftbo 病退
bftf 病痛
bftg 冰糖
bfth 变体
bftho 病体
bfti 辩题
bfto 变天
bftp 变态
bftpo 病态
bfts 部头
bftx 变通
bfty 悲愤填膺
bftz 膘肥体壮
bfv 半疯儿
bfvi 变暗
bfvk 变法儿
bfvs 病案
bfvt 补肺阿胶汤
bfw 把服务
bfwb 变废为宝
bfwg 变为
bfwh 部位
bfwhi 辨伪
bfwho 变位
bfwj 变味
bfwk 病危
bfwl 部委
bfwx 变法维新
bfx 不放心
bfxb 变相
bfxbi 辨析
bfxc 边防线
bfxco 边锋线
bfxd 冰心
bfxdo 变心
bfxh 变向
bfxhi 蝙蝠侠
bfxho 病休
bfxi 变星
bfxio 病邪
bfxj 白费心机
bfxl 冰箱
bfxlo 报复心理
bfxo 变形
bfxoo 变现
bfxooo 被发现
bfxs 变性
bfxso 禀性
bfxsoo 报复性
bfxt 变小
bfxu 冰雪
bfxuo 暴风雪
bfxw 不法行为
bfxy 部下
bfxyo 冰鞋
bfy 暴风雨
bfyb 变异
bfybo 变样
bfyc 冰缘
bfye 病因
bfyeo 冰岩
bfyf 变音
bfyg 褒义
bfyh 庇佑
bfyhi 部优
bfyho 病愈
bfyi 变易
bfyj 病员
bfyp 变硬
bfypi 辩友
bfypo 病原
bfypoo 变压
bfys 褒誉
bfysi 并非易事
bfyso 不妨一试
bfyt 病源
bfyu 褒扬
bfyw 庇荫
bfyy 冰雨
bfyz 病院
bfz 百分之
bfzb 冰柱
bfzbe 百分之百
bfzbo 不分皂白
bfzd 辩证
bfzdi 辨证
bfze 病中
bfzf 部族
bfzfi 并发症
bfzfo 病症
bfzg 病灶
bfzga 亳州
bfzgo 病着
bfzh 变作
bfzl 部长
bfzle 百分制
bfzlo 变种
bfzloe 病重
bfzm 变质
bfzo 禀奏
bfzoo 变奏
bfzr 冰镇
bfzro 不负责任
bfzs 变窄
bfzso 边防战士
bfzt 不法之徒
bfzw 不负众望
bfzy 被俘者
bfzyo 暴风骤雨
bfzyoo 捕风捉影
bfzyou 八方支援
bfzz 辫子
bfzza 北伐战争
bfzze 白附子
bfzzo 变阵
bgb 班干部
bgbb 半壁
bgbbo 薄钢板
bgbc 笔耕不辍
bgbd 并被
bgbdi 半工半读
bgbf 半部
bgbfi 弊病
bgbg 粑粑
bgbgo 不管不顾
bgbj 毕恭毕敬
bgbjo 不干不净
bgbl 秉公办理
bgbla 包工包料
bgbn 半边
bgbp 并不
bgbpi 半百
bgbr 半步
bgbs 秉公办事
bgbu 并把
bgbui 并报
bgbx 边干边学
bgbz 八纲辨证
bgc 兵工厂
bgcf 宝贵财富
bgcg 爆炒
bgcgi 并曾
bgch 并从
bgck 并处
bgcl 并称
bgcli 半程
bgcn 半场
bgcp 并存
bgcz 爆出
bgczo 迸出
bgd 宝贵的
bgdf 弊端
bgdfo 曝光度
bgdfoe 波格丹诺夫
bgdg 半道
bgdh 报告的
bgdha 包干到户
bgdho 悲观的
bgdi 并到
bgdj 半个多世纪
bgdk 半岛
bgdki 半个多
bgdl 办公大楼
bgdm 憋得
bgdo 被感动
bgdp 巴格达
bgdr 半点
bgds 博格达山
bgdt 不共戴天
bgdw 并当
bgdwi 并蒂
bgdwo 不敢当
bgdx 并对
bgf 不规范
bgfb 保管费
bgfbo 办公费
bgfe 并罚
bgff 半官方
bgfg 北国风光
bgfj 半分
bgfn 爆发
bgfni 并发
bgfno 迸发
bgfr 并非
bgfs 并购方式
bgfw 不规范
bgfz 并附
bgfza 包干负责
bgg 不过关
bggc 并给
bgge 并购
bggg 不过关
bggh 半个
bggi 并轨
bggo 焙干
bggt 不敢苟同
bggw 不敢恭维
bgh 报告会
bghh 并会
bghl 并和
bghr 不甘后人
bghw 并获
bghy 办公会议
bgj 白骨精
bgjc 蹩脚
bgjco 不干胶
bgjd 并肩
bgje 鳖甲
bgjf 并将
bgjfi 并就
bgjg 白骨精
bgjh 半价
bgjhi 并集
bgji 半旧
bgjj 百感交集
bgjk 半句
bgjki 半角
bgjm 半径
bgjmo 不甘寂寞
bgjo 并进
bgjoi 并击
bgjs 并举
bgjt 迸溅
bgjy 半截
bgkj 并口
bgko 爆开
bgkoi 半开
bgks 半空
bgky 并可
bgl 办公楼
bglb 办公楼
bglc 扮鬼脸
bgld 半裸
bgldo 悲观论调
bglf 并立
bglfo 爆冷
bglg 爆料
bglh 不甘落后
bglj 半路
bgljo 八国联军
bgln 并力
bglp 爆裂
bglpi 并列
bglpo 迸裂
bglu 并拢
bglui 半拉
bglv 背旮旯儿
bgly 并联
bgma 憋闷
bgmt 并没
bgmto 爆满
bgmw 并茂
bgn 布谷鸟
bgnk 布谷鸟
bgnl 半年
bgnx 并能
bgp 不公平
bgpb 爆棚
bgpbi 半屏
bgpg 半瓶
bgpn 半坡
bgpp 爆破
bgpt 并派
bgpu 并排
bgpui 半拍
bgpy 半票
bgq 办公区
bgqb 憋屈
bgqd 并请
bgqe 并且
bgqei 半圈
bgqi 北关区
bgqj 卑躬屈节
bgql 憋气
bgqn 并起
bgqo 半球
bgqq 倍感亲切
bgqs 拜鬼求神
bgqx 卑躬屈膝
bgqy 半期
bgr 被告人
bgrc 不过如此
bgrce 本该如此
bgrd 并让
bgrg 爆燃
bgrh 本国人
bgrho 报告人
bgrhoe 膑骨软化
bgri 半日
bgrj 并入
bgrjo 办公软件
bgrm 本国人民
bgrw 报告认为
bgs 办公室
bgsb 本公司
bgsbo 办公设备
