agu A股
bbzn 百般阻挠
bbzp 殡葬
bbzr 八宝粥
bbzs 悲不自胜
bbzu 宾主
bbzui 背不住
bbzuo 憋不住
bbzuu 备不住
bbzy 不白之冤
bbzye 本本主义
bcb 备查簿
bcbc 彼此彼此
bcbd 把持不定
bcbj 罢黜百家
bcbl 不成比例
bcbs 本次比赛
bcbu 备查簿
bcbz 包吃包住
bcc 不成材
bcch 不成材
bccm 保持沉默
bccu 被查处
bcd 不错的
bcde 彼此的
bcdei 悲惨的
bcdh 包产到户
bcdm 白炽灯
bcf 补偿费
bcfw 补偿费
bcfy 不测风云
bcg 不超过
bcgb 百尺竿头，更进一步
bcgc 博采各家之长
bcgd 补充规定
bcgh 百川归海
bcgm 本草纲目
bcgo 不超过
bcgr 鼻唇沟
bcgt 百尺竿头
bcgv 便常规
bch 病虫害
bchh 百川汇海
bchl 卑辞厚礼
bchs 报春花
bchv 被摧毁
bchx 包藏祸心
bchy 本次会议
bcj 补偿金
bcjb 补偿金
bcjf 彼此间
bcjl 病程记录
bcjs 编程技术
bcjt 保持警惕
bcjx 备尝艰辛
bcjz 别出机杼
bckr 病从口入
bcl 变成了
bcle 保持了
bcleo 补充了
bcleoa 爆出了
bclh 保持良好
bclk 不辞劳苦
bcln 拔出萝卜带出泥
bclx 保持联系
bcmj 鞭长莫及
bcmm 不揣冒昧
bcmy 补偿贸易
bcp 半成品
bcpb 半成品
bcph 保持平衡
bcpy 薄层培养
bcq 保存期
bcqi 不成器
bcqj 保持清洁
bcs 白城市
bcsi 白城市
bcsl 不出所料
bcslu 保存实力
bcsm 补充说明
bcsme 不差什么
bcso 补充说
bcsq 抱残守缺
bcst 冰醋酸
bcstu 保持水土
bcsu 被除数
bcsuo 被乘数
bct 波茨坦
bctj 波茨坦
bctt 不成体统
bcv 板擦儿
bcvb 不辞而别
bcvu 冰碴儿
bcw 不成文
bcwd 保持稳定
bcwn 博茨瓦纳
bcwv 辨才无碍
bcww 被称为
bcx 北朝鲜
bcxc 别出心裁
bcxf 北朝鲜
bcxh 报仇雪恨
bcxk 不辞辛苦
bcxl 不辞辛劳
bcxs 饱餐秀色
bcxu 编程序
bcxv 编程序
bcxw 不耻下问
bcyr 不齿于人
bcyt 抱成一团
bcyw 补充业务
bcyz 保持一致
bcyzi 背城一战
bcyzu 保持原状
bcz 保持着
bczc 博采众长
bczce 博采众家之长
bcze 保持者
bczh 不存在
bczhu 笔参造化
bczi 不称职
bczie 标称值
bczj 彼此之间
bczl 悲从中来
bczo 被称作
bczx 本初子午线
bdb 不得不
bdba 标靶
bdbd 表表
bdbf 不得不发
bdbg 标兵
bdbh 表白
bdbhu 白蛋白
bdbi 表笔
bdbj 标版
bdbk 表报
bdbku 彼得堡
bdbl 宝刀不老
bdbn 标本
bdbo 表伯
bdbp 标榜
bdbs 不多不少
bdbse 不打不相识
bdbt 棒打不回头
bdbu 不但不
bdbuo 被逮捕
bdbw 裱褙
bdbwi 背对背
bdbx 不大不小
bdby 百读不厌
bdc 八斗才
bdca 标叉
bdce 飙车
bdcee 表册
bdch 不到长城非好汉
bdci 标尺
bdcj 不动产
bdcl 表达出来
bdcm 表层
bdcme 标称
bdcmea 不对称
bdcmu 白帝城
bdco 标错
bdcp 表厂
bdct 标船
bdcu 标出
bdcue 表达出
bdcuu 八大处
bdcv 不对茬儿
bdcx 不断创新
bdda 表达
bddd 标调
bdde 不道德
bddeo 病毒的
bddf 标点
bddfe 不大点
bddg 标定
bddh 表带
bddi 标的
bddie 表弟
bddieo 不断地
bddj 表单
bddje 百端待举
bddk 办得到
bddko 并得到
bddt 标段
bddte 不登大雅之堂
bddu 标度
bddv 别动队
bddy 百多吨
bdfa 彪发
bdff 不断丰富
bdfh 标点符号
bdfm 飙风
bdfn 贝多芬
bdfp 标房
bdfs 表达方式
bdfw 膘肥
bdfz 不断发展
bdg 变档杆
bdgc 不定冠词
bdge 表格
bdgee 表哥
bdgh 表盖
bdgj 标杆
bdgjo 变得更加
bdgk 标高
bdgl 表功
bdglu 白搭功
bdgn 北豆根
bdgo 骠国
bdgp 标钢
bdgpi 北大港
bdgr 病毒感染
bdgs 白大褂
bdgse 毕达哥拉斯
bdgt 表观
bdgu 表姑
bdgv 标轨
bdgx 不断更新
bdhc 憋得慌
bdhe 彪赫
bdhei 北戴河
bdhj 彪悍
bdhk 标号
bdhl 标红
bdhr 表后
bdhs 本地化
bdhse 不到黄河心不死
bdhu 裱糊
bdhv 标会
bdhx 不到黄河不死心
bdjb 标金
bdjbe 不得劲
bdjbeo 不断进步
bdjbu 八段锦
bdjd 鳔胶
bdjf 不定积分
bdjfe 不多见
bdjg 兵多将广
bdjh 表决
bdji 标记
bdjl 巴丹吉林
bdjm 被动局面
bdjq 表舅
bdjqe 不多久
bdjqeo 不断加强
bdjs 标价
bdjse 博大精深
bdjso 部队建设
bdju 镖局
bdjv 镖局
bdjx 表姐
bdjy 骠骏
bdjz 表决
bdk 白豆蔻
bdkc 标况
bdkd 不断扩大
bdke 表壳
bdkh 遍地开花
bdkl 鞭打快驴
bdkn 不大可能
bdkne 鞭打快牛
bdkr 彪口
bdkt 傍大款
bdky 不但可以
bdl 不得了
bdlc 标量
bdle 标了
bdlee 表达了
bdleeo 报道了
bdlf 表链
bdlfo 并蒂莲
bdlg 标领
bdlge 布达拉宫
bdlgo 波多黎各
bdlgu 八达岭
bdlh 并蒂莲花
bdli 表里
bdlii 背地里
bdlj 标兰
bdlje 本地连接
bdls 弊多利少
bdlu 表露
bdly 鲍德里亚
bdma 彪马
bdmf 表面
bdmg 表明
bdmo 标末
bdmu 标目
bdmw 表妹
bdnf 波多诺伏
bdnl 表达能力
bdnw 表内
bdpb 标品
bdph 标牌
bdpi 表皮
bdpj 表盘
bdps 布达佩斯
bdpu 标普
bdpw 标配
bdq 不定期
bdqb 表亲
bdqc 标枪
bdqf 标签
bdqg 表情
bdqi 表旗
bdqj 不断前进
bdqu 彪躯
bdque 本地区
bdqui 北道区
bdquo 宝坻区
bdqv 本地区
bdqvi 北道区
bdqvo 宝坻区
bdqz 不得其志
bdrc 不但如此
bdrv 班德瑞
bdrx 不得人心
bdsc 冰冻三尺
bdse 飙射
bdsg 表率
bdsh 笔底生花
bdsho 冰冻三尺，非一日之寒
bdsi 表示
bdsie 标识
bdsieo 不定式
bdsio 被动式
bdsiu 保定市
bdsj 表三
bdsji 败毒散
bdsk 表嫂
bdsm 飙升
bdsn 表婶
bdso 报道说
bdsoo 变电所
bdsp 标上
bdspe 比得上
bdsr 表首
bdsre 不断深入
bdss 不动声色
bdst 不打算
bdsu 表述
bdta 标塔
bdtg 不断提高
bdth 表态
bdti 标题
bdtl 标桐
bdtr 表头
bdtre 不对头
bdtree 不到头
bdtu 标图
bdtv 抱大腿
bdtx 标贴
bdvc 背道而驰
bdvd 被动挨打
bdvk 标奥
bdvq 拔地而起
bdvu 表二
bdvz 不得而知
bdwh 表外
bdwl 宝刀未老
bdwn 彪文
bdws 不断完善
bdwu 飚舞
bdww 表尾
bdwwe 本单位
bdwwee 不到位
bdx 北斗星
bdxb 飙信
bdxc 表象
bdxce 百度相册
bdxf 表现
bdxg 表形
bdxgo 病毒性
bdxgoe 被动性
bdxl 表兄
bdxs 表下
bdxw 不端行为
bdxx 表谢
bdxy 北大西洋
bdxyo 病毒性肝炎
bdxz 拔刀相助
bdxzu 保兑信用证
bdy 不得已
bdya 表压
bdyb 表音
bdye 表页
bdyi 表义
bdyj 表演
bdyju 鼻窦炎
bdyk 彪耀
bdyl 不得要领
bdylo 弊大于利
bdyp 表扬
bdyr 标有
bdys 被动运输
bdyu 标语
bdyue 不大于
bdyueu 不等于
bdyv 标语
bdyve 不大于
bdyveu 不等于
bdyy 飑云
bdyye 棒打鸳鸯
bdyyu 膀大腰圆
bdyz 步调一致
bdyze 不得已而为之
bdzc 不当之处
bdze 标着
bdzi 标志
bdzia 婊子
bdzj 变电站
bdzl 表中
bdzla 剥夺政治权利
bdzm 表征
bdzn 表针
bdzp 表彰
bdzt 标砖
bdzu 标注
bdzy 标准
bdzz 不打自招
bfba 便把
bfbc 不分彼此
bfbd 边防部队
bfbf 变变
bfbg 辨病
bfbgu 白粉病
bfbh 辩白
bfbhe 百分百
bfbi 百分比
bfbio 半封闭
bfbj 编办
bfbk 编报
bfbn 变笨
bfbo 辩驳
bfbs 不肥不瘦
bfbu 遍布
bfbw 便被
bfbx 辨别
bfbz 百发百中
bfca 变差
bfcc 编创
bfccu 白发苍苍
bfce 鞭策
bfceu 便车
bfch 辩才
bfche 不分场合
bfci 辩词
bfcj 便餐
bfck 便槽
bfcko 煸炒
bfcl 便从
bfcle 不费吹灰之力
bfcm 变成
bfco 变错
bfcp 变长
bfcpo 遍藏
bfcr 编凑
bfcro 变丑
bfcu 变粗
bfcv 边陲
bfcvo 变脆
bfcy 鞭春
bfcyo 部分产业
bfcz 不复存在
bfda 变大
bfdd 变调
bfde 变得
bfdea 办法的
bfdei 北方的
bfdf 变电
bfdg 编订
bfdh 边带
bfdi 遍地
bfdii 贬低
bfdj 扁担
bfdje 百废待举
bfdjea 不发达国家
bfdk 编导
bfdl 变动
bfdm 边等
bfdo 变多
bfdp 便当
bfdq 部分地区
bfdqe 不发达地区
bfdqi 北方地区
bfdr 扁豆
bfdt 变短
bfdu 边读
bfdv 编队
bfdx 百废待兴
bfdxe 不分大小
bffa 变法
bffj 便饭
bffm 边锋
bffp 边防
bffu 蝙蝠
bffz 不法分子
bfg 避风港
bfge 变革
bfgh 边改
bfgj 边干
bfgje 播放工具
bfgk 变高
bfgl 边攻
bfgm 变更
bfgn 便跟
bfgo 变过
bfgr 边沟
bfgs 变卦
bfgt 边关
bfgu 变故
bfgv 变鬼
bfgw 便给
bfhe 便和
bfhg 变坏
bfhh 边海
bfhk 编号
bfhl 变红
bfhn 鞭痕
bfhr 编后
bfhs 变化
bfhsi 北方话
bfhsii 蚍蜉撼树
bfht 变换
bfhu 辩护
bfhui 暴发户
bfhv 便会
bfhw 变黑
bfhy 八方呼应
bfj 不放假
bfjb 编进
bfjc 边疆
bfjd 变焦
bfjf 边检
bfjfe 毕福剑
bfjfo 半封建
bfjg 边境
bfji 编辑
bfjie 播放机
bfjj 悲愤交加
bfjk 步伐加快
bfjl 边炯
bfjq 变旧
bfjs 变价
bfju 编剧
bfjv 编剧
bfjx 边界
bfjxe 百废具兴
bfjxu 便捷
bfjy 边郡
bfjya 边防军
bfjyi 北伐军
bfkc 边框
bfke 便可
bfkg 变快
bfkj 边看
bfkl 变空
bfks 白费口舌
bfkt 变宽
bfku 边哭
bfkv 变亏
bflc 变量
bfld 边料
bfle 变了
bflf 变脸
bflfa 巴甫洛夫
bfli 便利
bflio 爆发力
bflk 变老
bflm 变冷
bflo 布法罗
bflq 变流
bflqu 白费力气
bflt 变乱
bflu 边路
bflv 变绿
bflve 百分率
bflx 编列
bfly 辩论
bflya 巴伐利亚
bfma 编码
bfmb 便民
bfmf 变面
bfmg 辨明
bfmh 变卖
bfmi 便秘
bfmj 变慢
bfmk 边贸
bfmn 边门
bfmu 编目
bfmw 变美
bfmx 变灭
bfni 扁你
bfnj 辩难
bfnl 变浓
bfnt 变暖
bfnw 编内
bfpb 变频
bfpgo 扁平
bfph 编排
bfpj 变盘
bfpk 鞭炮
bfpn 便盆
bfpo 边坡
bfpp 变胖
bfpw 编配
bfq 不服气
bfqb 边沁
bfqbe 不分青红皂白
bfqc 变强
bfqd 便桥
bfqf 变迁
bfqg 变清
bfqh 扁鹊
bfqi 播放器
bfql 变穷
bfqq 边球
bfqr 不乏其人
bfqs 边卡
bfqu 编曲
bfqx 边防前线
bfqy 部分企业
bfrc 并非如此
bfre 变热
bfrl 变容
bfrn 辨认
bfro 变弱
bfrt 变软
bfru 编入
bfs 并非是
bfsa 变傻
bfse 变色
bfsf 不分胜负
bfsh 边塞
bfsi 便是
bfsk 鞭梢
bfsl 变松
bfsn 变身
bfso 贬所
bfsoa 边说
bfsoe 比方说
bfsp 边上
bfsr 变瘦
bfss 边防哨所
bfst 变酸
bfste 不服水土
bfsu 变速
bfsue 百分数
bfsueu 不服输
bfsuo 变数
bfsv 边水
bfsy 贬损
bfta 鞭挞
bftd 便条
bftf 变天
bftg 边听
bfth 变态
bfti 变体
bftj 边谈
bftk 扁桃
bftl 变通
bftp 便溏
bftr 扁头
bfty 悲愤填膺
bftz 膘肥体壮
bfve 匾额
bfvh 变矮
bfvj 变暗
bfvt 补肺阿胶汤
bfvu 变法儿
bfwb 变废为宝
bfwh 编外
bfwn 便问
bfwp 便往
bfwu 编舞
bfww 变为
bfwx 变法维新
bfx 不放心
bfxb 变心
bfxc 变相
bfxd 变小
bfxf 变现
bfxfa 边防线
bfxfau 边锋线
bfxg 变形
bfxge 报复性
bfxh 边学
bfxhi 暴风雪
bfxi 辨析
bfxj 白费心机
bfxl 变凶
bfxle 报复心理
bfxq 编修
bfxs 边下
bfxsi 蝙蝠侠
bfxu 萹蓄
bfxw 不法行为
bfxx 编写
bfxxu 便携
bfxy 遍寻
bfxz 暴风雪
bfy 暴风雨
bfya 变压
bfyb 编印
bfye 遍野
bfyh 便曰
bfyi 变异
bfyia 编译
bfyii 贬义
bfyho 变易
bfyiu 便衣
bfyj 边沿
bfyk 便要
bfyl 便用
bfyp 变样
bfyr 便有
bfys 并非易事
bfyse 不妨一试
bfyt 边缘
bfyu 便于
bfyv 便于
bfyy 不发一言
bfyz 便曰
bfz 被俘者
bfza 变诈
bfzb 百分之百
bfzbe 不分皂白
bfzc 便装
bfze 编者
bfzeo 变则
bfzh 边寨
bfzi 编制
bfzie 百分之
bfzio 辫子
bfziu 白附子
bfzj 边赞
bfzk 编造
bfzku 便找
bfzl 变种
bfzm 辩证
bfzmo 并发症
bfzn 变阵
bfzo 变作
bfzp 边张
bfzpo 变脏
bfzr 边走
bfzre 不负责任
bfzs 边防战士
bfzt 编纂
bfzta 编撰
bfzte 不法之徒
bfzu 编著
bfzua 编组
bfzv 编缀
bfzva 边罪
bfzw 不负众望
bfzy 暴风骤雨
bfzye 捕风捉影
bfzyeu 报复主义
bfzyu 八方支援
bfzz 北伐战争
bgba 并把
bgbc 笔耕不辍
bgbd 并表
bgbdo 半工半读
bgbf 病变
bgbg 不管不顾
bgbh 兵败
bgbi 并比
bgbj 毕恭毕敬
bgbje 不干不净
bgbk 冰雹
bgbl 秉公办理
bgblu 包工包料
bgbn 并苯
bgbo 并拨
bgbp 冰棒
bgbs 秉公办事
bgbu 并不
bgbue 班干部
bgbw 并被
bgbx 边干边学
bgbz 八纲辨证
bgca 并查
bgcc 病床
bgce 兵车
bgcf 宝贵财富
bgch 并拆
bgci 秉持
bgcj 病残
bgcjo 并产
bgck 兵操
bgcko 冰超
bgcl 病虫
bgclo 并从
bgcm 秉承
bgcmo 并曾
bgcn 并趁
bgcp 冰场
bgct 冰川
bgcto 冰镩
bgcu 并处
bgcy 并存
bgcye 丙醇
bgda 巴格达
bgdai 北工大
bgdd 冰雕
bgde 病得
bgdee 报告的
bgdei 悲观的
bgdeo 宝贵的
bgdf 冰点
bgdfo 波格丹诺夫
bgdg 并定
bgdh 冰袋
bgdhu 包干到户
bgdi 兵地
bgdj 冰蛋
bgdjo 半个多世纪
bgdk 冰岛
bgdko 病倒
bgdl 冰冻
bgdla 办公大楼
bgdlo 被感动
bgdm 冰灯
bgdo 并多
bgdoo 半个多
bgdp 不敢当
bgdr 冰斗
bgds 博格达山
bgdt 不共戴天
bgdu 病毒
bgdui 曝光度
bgdv 并对
bgdy 冰盾
bgf 办公费
bgfa 兵法
bgfg 北国风光
bgfm 冰封
bgfn 兵分
bgfp 病房
bgfpo 半官方
bgfs 并购方式
bgfu 并附
bgfw 并非
bgfz 包干负责
bgg 不过关
bggc 冰光
bgge 兵哥
bggh 冰盖
bggj 饼干
bggk 禀告
bggl 秉公
bggn 病根
bggo 柄国
bggr 并购
bggs 冰挂
bggt 并关
bggte 不敢苟同
bggu 病故
bggv 冰柜
bggw 并给
bggwe 不敢恭维
bggy 冰棍
bghe 冰河
bghh 病害
bghj 冰寒
bghk 病号
bgho 并获
bghr 冰厚
bghre 不甘后人
bghs 冰花
bght 病患
bghu 冰湖
bghy 办公会议
bgjb 并进
bgjc 并将
bgjf 并肩
bgjg 不干净
bgjgu 白骨精
bgji 并击
bgjj 百感交集
bgjm 不甘寂寞
bgjq 并就
bgjs 病假
bgju 并举
bgjv 并举
bgjx 并解
bgjy 病菌
bgkc 病况
bgke 并可
bgkg 冰块
bgkr 并口
bgku 冰窟
bgl 扮鬼脸
bgla 病啦
bglb 兵临
bglc 冰凉
bgld 悲观论调
bgle 病了
bglf 并联
bglg 冰凌
bglh 不甘落后
bgli 病例
bglj 并栏
bglju 八国联军
bglm 冰冷
bglp 槟榔
bglq 冰溜
bglr 办公楼
bglt 兵乱
bglv 背旮旯儿
bglw 丙类
bglx 并列
bgly 并论
bglz 兵略
bgma 兵马
bgmb 病民
bgmf 冰面
bgmg 禀明
bgmk 并茂
bgmo 病魔
bgmu 兵募
bgmw 并没
bgn 布谷鸟
bgnd 冰鸟
bgni 并拟
bgnm 并能
bgnq 病牛
bgpf 冰片
bgpg 冰瓶
bgph 并排
bgphe 布告牌
bgpi 冰皮
bgpp 病旁
bgpu 冰瀑
bgpw 并辔
bgq 办公区
bgqd 冰橇
bgqg 病情
bgqi 兵器
bgqj 卑躬屈节
bgqq 冰球
bgqqu 倍感亲切
bgqs 拜鬼求神
bgqt 兵权
bgqu 病区
bgqui 北关区
bgqv 北关区
bgqx 并且
bgqxu 卑躬屈膝
bgrc 不过如此
bgrce 本该如此
bgrh 膑骨软化
bgri 并日
bgrj 冰然
bgrja 办公软件
bgrl 病容
bgrm 本国人民
bgrn 病人
bgrne 报告人
bgrnei 本国人
bgro 病弱
bgrp 并让
bgru 并入
bgrw 报告认为
bgs 办公室
bgsb 办公设备
bgsc 冰霜
bgsd 变革时代
bgsg 闭关锁国
bgsh 冰塞
bgsha 办公室自动化
bgsi 病死
bgsie 不过是
bgsieu 本公司
bgsio 病逝
bgsj 冰山
bgsjo 半个世纪
bgsl 并送
bgsn 丙申
bgso 报告说
bgsp 冰上
bgsr 不甘示弱
bgss 兵贵神速
bgst 丙酸
bgsu 兵书
bgsue 报告书
bgsv 冰水
bgsvo 并随
bgsw 悲观失望
bgsy 杯弓蛇影
bgsye 不管三七二十一
bgt 办公厅
bgta 病榻
bgtf 冰天
bgtg 报告厅
bgth 病态
bgti 并提
bgtj 冰炭
bgtje 博古通今
bgtl 病痛
bgto 冰坨
bgtp 冰糖
bgtr 包工头
bgtt 兵团
bgtte 报告团
bgtu 饼图
bgtv 病退
bgtx 并帖
bgty 不关痛痒
bgtz 笔管条直
bgv 笔杆儿
bgvd 秉公而断
bgvj 并按
bgvu 冰儿
bgvuo 冰棍儿
bgvuu 脖梗儿
bgvv 不过尔尔
bgwj 丙烷
bgwn 八股文
bgwp 并网
bgwu 并无
bgww 并未
bgwx 报告文学
bgwy 报国务院
bgx 不甘心
bgxb 冰心
bgxc 冰箱
bgxd 冰消
bgxg 并行
bgxge 不高兴
bgxh 冰雪
bgxi 被告席
bgxl 兵熊
bgxq 病休
bgxs 并下
bgxx 冰鞋
bgxy 别构效应
bgya 并压
bgyb 病因
bgybe 不敢越雷池一步
bgye 并也
bgyf 办公用房
bgyg 兵营
bgyh 半个月
bgyi 并以
bgyia 办公椅
bgyj 冰岩
bgyjo 宝贵意见
bgyk 并要
bgyl 并用
bgyle 不够用
bgyp 冰洋
bgypa 办公用品
bgyq 不顾一切
bgyr 并有
bgys 稗官野史
bgysi 悲观厌世
bgyt 兵员
bgytu 保管员
bgyu 并于
bgyv 并于
bgyx 不苟言笑
bgyy 并允
bgyz 半个月
bgz 不规则
bgzc 病状
bgzce 报告指出
bgzd 白圭之玷
bgze 秉着
bgzf 秉公执法
bgzh 并在
bgzha 办公自动化
bgzi 饼子
bgzio 并至
bgzj 兵站
bgzk 病灶
bgzko 并找
bgzl 兵种
bgzle 报告中
bgzm 病症
bgzn 冰镇
bgzo 并作
bgzoa 办公桌
bgzp 不攻自破
bgzr 并州
bgzre 本固枝荣
bgzro 禀奏
bgzs 闭关自守
bgzt 并转
bgzu 冰柱
bgzv 冰锥
bgzy 悲观主义
bgzz 八竿子打不着
bhb 白化病
bhbd 变化不定
bhbf 百变
bhbg 百病
bhbh 拜拜
bhbi 败笔
bhbj 百般
bhbju 饱汉不知饿汉饥
bhbk 百宝
bhbm 不慌不忙
bhbn 白本
bhbp 白榜
bhbu 摆布
bhbw 百倍
bhbx 拜别
bhc 保护层
bhca 白茶
bhce 白扯
bhch 白菜
bhci 白痴
bhcie 百次
bhcj 拜忏
bhck 百草
bhcm 百城
bhco 百错
bhcp 百场
bhcr 白愁
bhcs 保护措施
bhct 百川
bhcu 摆出
bhcue 百出
bhcuu 白醋
bhcv 摆锤
bhcy 白村
bhcyu 白椿
bhd 不好的
bhda 白搭
bhdd 变化多端
bhde 保护的
bhdf 白点
bhdfe 百货店
bhdg 白丁
bhdh 白带
bhdi 白底
bhdk 拜倒
bhdki 北海道
bhdl 摆动
bhdle 百货大楼
bhdlu 饱和电流
bhdm 白等
bhdo 百多
bhdp 摆荡
bhdq 白丢
bhdqo 渤海地区
bhdr 白都
bhdt 掰断
bhdu 百度
bhduu 拜读
bhduuu 饱和度
bhdv 白对
bhdy 百吨
bhfa 白发
bhfj 白饭
bhfm 百峰
bhfn 百分
bhfo 拜佛
bhfp 拜访
bhfpo 辩护方
bhfu 百幅
